marca,modelo,ano_vehic,km,combustible,puertas,cv,transmision,ubicacion,precio,idade,km_era_ausente,marca_agrupada,possivel_classico
RENAULT,KADJAR ZEN ENERGY DCI 130,2016.0,49000.0,diesel,5.0,130.0,manual,ZARAGOZA,15390,5.0,0,RENAULT,0
OPEL,GRANDLAND X,2020.0,10.0,diesel,5.0,130.0,manual,CANTABRIA,19990,1.0,0,OPEL,0
SUZUKI,SCROSS 1. 4 DITC GLX 4WD MID HYBRID,2020.0,9040.0,híbrido,5.0,129.0,manual,CANTABRIA,19990,1.0,0,SUZUKI,0
OPEL,ZAFIRA LIFE,2020.0,10.0,diesel,5.0,120.0,manual,CANTABRIA,49990,1.0,0,OPEL,0
BMW,SERIE 1 116D,2015.0,34326.0,diesel,5.0,116.0,manual,MADRID,13900,6.0,0,BMW,0
NISSAN,QASHQAI 1. 6 ACENTA 4X2,2008.0,180000.0,gasolina,5.0,115.0,manual,ZARAGOZA,5900,13.0,0,NISSAN,0
SUZUKI,ACROSS,2021.0,10.0,híbrido,5.0,306.0,automatico,CANTABRIA,39990,0.0,0,SUZUKI,0
OPEL,INSIGNIA ST 1. 6 CDTI 100KW TURBO D INNOVATION,2019.0,17500.0,diesel,5.0,136.0,manual,CANTABRIA,21990,2.0,0,OPEL,0
PEUGEOT,508 HYBRID,2020.0,7.0,híbrido,5.0,225.0,automatico,CANTABRIA,31900,1.0,0,PEUGEOT,0
PEUGEOT,308 5P STYLE 1. 6 BLUEHDI 88KW 120CV,2017.0,258000.0,diesel,5.0,120.0,manual,ZARAGOZA,6550,4.0,0,PEUGEOT,0
SEAT,LEON 1. 6 TDI 105CV STYLE COPA,2011.0,67000.0,diesel,5.0,105.0,manual,BARCELONA,7800,10.0,0,SEAT,0
SEAT,ALTEA 1. 4 TSI 125CV STYLE,2013.0,59000.0,gasolina,5.0,125.0,manual,ZARAGOZA,7350,8.0,0,SEAT,0
SMART,FORTWO COUPE 52 MHD BOCONCEPT,2015.0,33800.0,gasolina,3.0,71.0,manual,CANTABRIA,9490,6.0,0,OUTRAS,0
OPEL,MOKKA X 1. 6 CDTI 100KW 4X2 SS EXCELLENCE,2018.0,84285.0,diesel,5.0,136.0,manual,CANTABRIA,13500,3.0,0,OPEL,0
BMW,SERIE 2 M240IA XDRIVE,2017.0,54964.0,gasolina,2.0,340.0,automatico,PONTEVEDRA,39900,4.0,0,BMW,0
FORD,CMAX 1. 0 ECOBOOST 125 AUTO STARTSTOP EDITION,2014.0,45000.0,gasolina,5.0,125.0,manual,ZARAGOZA,7900,7.0,0,FORD,0
OPEL,CROSSLAND,2020.0,10.0,diesel,5.0,120.0,automatico,CANTABRIA,17490,1.0,0,OPEL,0
OPEL,MOKKA 1. 6 CDTI 4X2 SS SELECTIVE,2015.0,133400.0,diesel,5.0,136.0,manual,MADRID,9900,6.0,0,OPEL,0
RENAULT,LAGUNA EMOTION DCI 110 ECO2,2015.0,52000.0,diesel,5.0,110.0,manual,BARCELONA,9950,6.0,0,RENAULT,0
PEUGEOT,508 HYBRID,2020.0,30500.0,híbrido,5.0,225.0,automatico,CANTABRIA,26990,1.0,0,PEUGEOT,0
PEUGEOT,308 5P ALLURE 1. 5 BLUEHDI 96KW 130CV,2018.0,14500.0,diesel,5.0,130.0,manual,CANTABRIA,16990,3.0,0,PEUGEOT,0
PEUGEOT,E208,2020.0,21000.0,híbrido,5.0,136.0,automatico,CANTABRIA,21990,1.0,0,PEUGEOT,0
VOLKSWAGEN,PASSAT ALLTRACK 2. 0 TDI 190CV BMT 4MOTION DSG,2015.0,72628.0,diesel,5.0,190.0,automatico,MADRID,22900,6.0,0,VOLKSWAGEN,0
FORD,GALAXY 2. 0 TDCI 140CV DPF TITANIUM POWERSHIFT,2014.0,83232.0,diesel,5.0,140.0,automatico,MADRID,12500,7.0,0,FORD,0
PEUGEOT,206PLUS 1. 1 60CV GENERATION,2012.0,131184.0,gasolina,3.0,60.0,manual,MADRID,4200,9.0,0,PEUGEOT,0
FORD,MONDEO 2. 0 TDCI 140CV LIMITED EDITION,2015.0,85463.0,diesel,5.0,140.0,manual,MADRID,12500,6.0,0,FORD,0
SEAT,EXEO 1. 8 TSI 160 CV STYLE,2010.0,113200.0,gasolina,4.0,160.0,manual,MADRID,5900,11.0,0,SEAT,0
OPEL,ASTRA 1. 2T SHT 96KW 130CV GS LINE,2020.0,10.0,gasolina,5.0,130.0,manual,CANTABRIA,16490,1.0,0,OPEL,0
OPEL,ASTRA 1. 5D DVC 77KW 105CV 2020,2020.0,3000.0,diesel,5.0,105.0,manual,CANTABRIA,15990,1.0,0,OPEL,0
OPEL,CORSA 1. 5D DT 74KW 100CV ELEGANCE,2020.0,9049.0,diesel,5.0,102.0,manual,CANTABRIA,14990,1.0,0,OPEL,0
PEUGEOT,508 SW ALLURE BLUEHDI 96KW130CV SS EAT8,2019.0,31614.0,diesel,5.0,130.0,automatico,CANTABRIA,23990,2.0,0,PEUGEOT,0
TOYOTA,AVENSIS 2. 0 D4D SOL,2005.0,130000.0,diesel,4.0,116.0,manual,ZARAGOZA,3300,16.0,0,OUTRAS,0
PEUGEOT,308 5P GT LINE 1. 2 PURETECH 130 SS EAT6,2015.0,60321.0,gasolina,5.0,130.0,automatico,CANTABRIA,11990,6.0,0,PEUGEOT,0
OPEL,ASTRA 1. 2T SHT 96KW 130CV GS LINE,2020.0,6.0,gasolina,5.0,130.0,manual,CANTABRIA,15490,1.0,0,OPEL,0
SUZUKI,SWACE,2020.0,10.0,híbrido,5.0,122.0,manual,CANTABRIA,19990,1.0,0,SUZUKI,0
MERCEDES-BENZ,CLASE GLA GLA 220 D 4MATIC STYLE,2016.0,205680.0,diesel,5.0,177.0,automatico,SEVILLA,16890,5.0,0,MERCEDES-BENZ,0
FORD,KUGA 2. 0 TDCI 140 4X4 TITANIUM POWERSHIFT,2013.0,132669.0,diesel,5.0,140.0,automatico,MADRID,12900,8.0,0,FORD,0
CITROEN,C4 CACTUS BLUEHDI 100 SHINE,2015.0,113200.0,diesel,5.0,100.0,manual,MADRID,8500,6.0,0,CITROEN,0
CITROEN,C3 PICASSO PURETECH 110 COLLECTION,2015.0,49905.0,gasolina,5.0,110.0,manual,MADRID,9500,6.0,0,CITROEN,0
SEAT,CÓRDOBA,2006.0,250000.0,diesel,5.0,100.0,manual,CACERES,1990,15.0,0,SEAT,0
FORD,MUSTANG,1994.0,164000.0,gasolina,2.0,160.0,automatico,ALICANTE,2999,27.0,0,FORD,1
RENAULT,SCENIC CONFORT DYNAMIQUE 1. 9DCI,2004.0,150000.0,diesel,5.0,120.0,manual,VALLADOLID,4600,17.0,0,RENAULT,0
PEUGEOT,3008 HYBRID4,2012.0,84500.0,híbrido,5.0,200.0,automatico,ALBACETE,10999,9.0,0,PEUGEOT,0
MINI,MINI ONE,2008.0,135000.0,gasolina,3.0,95.0,manual,VALLADOLID,6900,13.0,0,OUTRAS,0
VOLKSWAGEN,GOLF 1. 9 TDI HIGHLINE DSG,2006.0,175000.0,diesel,5.0,105.0,manual,VALLADOLID,7500,15.0,0,VOLKSWAGEN,0
RENAULT,ESPACE PRIVILEGE 2. 2 DCI 16V,2006.0,145000.0,diesel,5.0,150.0,manual,PONTEVEDRA,4990,15.0,0,RENAULT,0
FORD,MONDEO 2. 0 TDCI 115 AMBIENTE,2003.0,190000.0,diesel,5.0,115.0,manual,VALLADOLID,4000,18.0,0,FORD,0
PORSCHE,PANAMERA 4 EHYBRID,2017.0,65000.0,híbrido,5.0,462.0,automatico,ZARAGOZA,89999,4.0,0,OUTRAS,0
TOYOTA,RAV4,2017.0,80000.0,híbrido,5.0,197.0,automatico,carrio,18300,4.0,0,OUTRAS,0
FORD,CMAX 1. 8 TDCI GHIA,2007.0,135000.0,diesel,5.0,115.0,manual,VALLADOLID,5900,14.0,0,FORD,0
PEUGEOT,5008 1. 2 PURETECH 96KW SS ALLURE PACK,2021.0,0.0,gasolina,5.0,130.0,manual,MALAGA,31200,0.0,1,PEUGEOT,0
MERCEDES-BENZ,CLASE V 250 D MARCO POLO LARGO,2017.0,74000.0,diesel,4.0,204.0,automatico,ALICANTE,56990,4.0,0,MERCEDES-BENZ,0
HYUNDAI,I30 1. 4 CRDI TECNO,2014.0,150000.0,diesel,5.0,90.0,manual,MADRID,8900,7.0,0,HYUNDAI,0
VOLKSWAGEN,GOLF 2. 0 TDI 140CV HIGHLINE,2006.0,180000.0,diesel,5.0,140.0,manual,VALLADOLID,6500,15.0,0,VOLKSWAGEN,0
PEUGEOT,208 5P ACCESS 1. 6 BLUEHDI 75,2016.0,98000.0,diesel,5.0,75.0,manual,CASTELLON,8300,5.0,0,PEUGEOT,0
RENAULT,LAGUNA CONFORT DYNAMIQUE 1. 9DCI 120CV,2005.0,169000.0,diesel,5.0,120.0,manual,ZARAGOZA,2999,16.0,0,RENAULT,0
VOLKSWAGEN,TIGUAN 2. 0 TDI 170CV 4X4 SPORT,2012.0,168000.0,diesel,5.0,170.0,manual,PONTEVEDRA,13300,9.0,0,VOLKSWAGEN,0
SEAT,LEON 1. 2 TSI 81KW 110CV STSP STYLE,2018.0,72255.0,gasolina,5.0,110.0,manual,MALAGA,11500,3.0,0,SEAT,0
VOLKSWAGEN,GOLF 2. 0 TDI 140CV DPF 4MOTION SPORT,2011.0,164000.0,diesel,5.0,140.0,manual,PONTEVEDRA,11000,10.0,0,VOLKSWAGEN,0
HYUNDAI,TUCSON 1. 6 CRDI 85KW 116CV 48V SLE 4X2,2020.0,10664.0,híbrido,5.0,116.0,manual,MALAGA,21400,1.0,0,HYUNDAI,0
HYUNDAI,IONIQ 1. 6 GDI HEV TECNO DCT,2019.0,8939.0,híbrido,5.0,141.0,automatico,MALAGA,18800,2.0,0,HYUNDAI,0
AUDI,A4 2. 5 TDI 180CV QUATTRO,2003.0,240000.0,diesel,4.0,180.0,manual,VALLADOLID,4900,18.0,0,AUDI,0
VOLKSWAGEN,TOURAN 2. 0 TDI 140CV SPORT,2011.0,149000.0,diesel,5.0,140.0,manual,PONTEVEDRA,11500,10.0,0,VOLKSWAGEN,0
AUDI,A6 2. 0 TDI,2008.0,178000.0,diesel,4.0,140.0,manual,PONTEVEDRA,8990,13.0,0,AUDI,0
MERCEDES-BENZ,CLASE GLC GLC 220 D 4MATIC,2017.0,85000.0,diesel,5.0,170.0,automatico,ALICANTE,34990,4.0,0,MERCEDES-BENZ,0
SMART,FORTWO COUPE 52 PASSION,2008.0,112000.0,gasolina,3.0,71.0,automatico,VALLADOLID,4900,13.0,0,OUTRAS,0
SEAT,LEON 1. 6 102CV SPORT,2006.0,159000.0,gasolina,5.0,102.0,manual,VALLADOLID,5850,15.0,0,SEAT,0
SUZUKI,JIMNY 1. 5D JLX HARD TOP,2005.0,199000.0,diesel,3.0,65.0,manual,MADRID,5999,16.0,0,SUZUKI,0
BMW,SERIE 1 118D,2011.0,159000.0,diesel,5.0,143.0,manual,MADRID,8800,10.0,0,BMW,0
